Point,X,Y,Z,W,P,R
MPA-10,-697.78596681461443,-797.54898907252959,42.132936639544276,-1.0372657023697325,0.057553538835458426,-0.075923302561873532
MPA-40,1250.6257967301958,-1957.0802589563639,325.66697708663349,0.23024895616795465,-1.4612579686996623,3.091016286327509
MPA-28,-102.06262716184635,-1955.2414758235054,1332.4198210085563,0.37962532401142635,1.4876105753261044,-2.9039623839031039
MPA-41,1438.3409993986679,-1600.2628005183988,-102.84432283026518,-1.500029008618833,0.10050302485671352,1.6643015596981956
MPA-29,-226.66073396458873,-617.27129903739979,-228.31406599500869,-1.3622458608396322,-0.10591645876172955,-1.5956898225178402
MPA-27&27a&7,-77.6759707699023,-2032.2346171529466,942.72378698006924,0.36253156367564804,-0.036795362253863845,2.7922389208999103
MPA-42&42a&6,2203.1164390579761,-1495.6786696515367,962.597967503415,0.32929281585715031,-0.037918906779673828,-2.5727182571311573
MPA-31&32,-70.250468715423423,-1920.7480132817439,1493.4314417864894,0.78401324792213511,0.75256308167254182,-2.9065681130109606
MPA-37&38,2168.5766649154039,-1636.4628171001607,348.96029534900521,0.21046365991666569,-0.94397658749750812,-2.3896252242001395
MPA-39,1775.2322152548008,-1977.4138336621238,722.04925611055262,0.348468681489767,-0.30079007256857343,3.1099707948575874
MPA-43,1445.5651573833713,-2085.6669496503646,452.35548953195541,-0.73045083710252079,0.39350292460628533,2.4023138019294028
MPA-21,1080.713623479,-573.15044791395769,-116.303841348512,-0.7861622659510159,-0.30082182775495941,-0.19869052242006563
MPA-20,36.860079914984404,-1190.5791183694114,-131.22383724838738,-1.4177828838465689,0.015906777523904479,-0.011766141426038762
MPA-19,-171.11765887442078,-1121.1284708327498,-98.54909384610815,-1.314882003475313,0.0721588433473237,0.051707325169826693
MPA-18,-617.20700526215467,-883.12948714648633,-60.602937089908558,-1.0409253825178026,0.096271487546589207,0.040929316596803163
MPA-17,-483.10277904316018,-736.47227244004534,-190.21645510687145,-0.92761233266398224,-0.19784191737630841,-0.093148486678978862
MPA-44,318.75119195698954,-1336.3977659493728,48.813773502208591,-0.7232761617075516,-0.319827991392239,-2.2901387792805412
MPA-24&16,3.4808803717598442,-373.73253995708217,202.42145446576791,-0.6510732936067094,-0.0078172639242065182,0.0016771280017312152
MPA-12,-401.43117589280484,-1321.2427345702415,-78.298758683152087,-1.5347219970455355,0.016493469197439731,-0.026156741330675477
MPA-11,268.68812328959166,-1315.0495595076088,-94.572677520361864,-1.5331514761393916,-0.026667595305558362,0.021097681147228833
MPA-30,255.42989633454945,-1896.7485713718547,1077.5097361622645,0.41114630098103111,0.31359404090501314,-3.0327497483381594
MPA-36,1245.1493513402227,-2186.769686299082,452.00631318021215,0.12981382850114426,-1.5511281625813453,-3.0536647197054032
MPA-33,-215.4282230609405,-2215.3801720000715,1377.2425950703064,-0.57196508306943317,1.4651355395939958,2.3286332576862652
MPA-35,800.71014259444075,-437.06301735456304,335.12348905417394,-0.67896258720799474,0.14690406066840533,-0.29474770381752163
MPA-34,-651.82648866552165,-669.702310409024,115.58110275561947,-0.68752722449090342,-0.20039705975081062,0.17227066180726525
MPA-22,583.68942727029719,-489.84555783164308,277.96173049392604,-0.65088656130736888,0.041727411736083971,-0.0223683701840903
MPA-23,315.307966838747,-398.05897830696955,245.60314065391549,-0.6696480552975459,0.057555968788103991,-0.054040421196439217
MPA-26,-828.51390531571144,-753.53271036693525,257.39321847776404,-0.68580466586317079,0.071810466627919442,0.344572067365329
MPA-13,1053.3706901563346,-2258.2928722932861,836.739231313114,0.14492983484286007,-0.17298992373025041,2.6837635911617888
MPA-14,1058.9253005676781,-2035.6441594696782,931.66696251438179,0.14183355197314063,0.0662043497345998,-3.0980383073342566
MPA-15,783.74279127933994,-1898.0621398149233,1037.121317108933,0.14267322359618087,0.24173135402581633,-2.7805035583677595
MPA-45&46,1636.1722742468494,-1941.1357712444642,220.21495732384426,-0.91699916091684752,0.32186749590681368,2.6014943508092641
MPA-47,1679.9334979865964,-1798.4273369350321,232.73292359317546,-0.698969211408353,0.17098391116544942,3.0540711217836742
MPA-48,1642.190555188015,-1606.2681395683419,1383.1782840681408,0.3978664773873527,0.72608645109318048,-2.3352247110303122
MPA-49&50,413.49797991889329,-1226.705756175319,-48.224901894633462,-1.0094280145442456,-0.0777925182041805,-2.5889795900575385
MPA-25,-538.11050525221867,-590.53007346910806,311.55735537781237,-0.65214791163975372,0.14058394439551214,0.24023253372176032
